num_train_images,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,11.76255047185579,32,221,255,34,0.0,0.0,0.0
2,15.283696976454326,66,228,255,27,0.08333333333333333,0.027777777777777776,0.041666666666666664
3,19.007980378327265,115,221,255,34,0.47222222222222215,0.38888888888888884,0.4138888888888889
4,16.480815864453696,158,228,255,27,0.5833333333333334,0.4722222222222223,0.5083333333333333
5,16.173748344230763,184,218,255,37,0.6666666666666666,0.5555555555555555,0.5916666666666667
6,16.689156507319275,223,218,255,37,0.6944444444444443,0.6111111111111112,0.6361111111111111
7,16.787055635268015,189,208,255,47,0.6388888888888888,0.5555555555555556,0.5805555555555555
8,22.94928187865726,398,228,255,27,0.6666666666666666,0.6388888888888888,0.65
9,18.710301194684096,328,228,255,27,0.75,0.6944444444444443,0.7166666666666667
10,18.397364108486876,373,227,255,28,0.8333333333333334,0.7222222222222222,0.7583333333333333
13,23.53892796048377,669,227,255,28,0.8333333333333334,0.8333333333333334,0.8333333333333334
16,22.31047926458388,771,223,255,32,0.8333333333333334,0.8333333333333334,0.8333333333333334
19,19.34862781403114,731,206,255,49,0.8333333333333334,0.7777777777777777,0.7916666666666666
22,28.95848970277817,766,184,255,71,0.9166666666666666,0.9166666666666666,0.9166666666666666
25,28.550870832982934,879,185,255,70,0.9166666666666666,0.9166666666666666,0.9166666666666666
27,23.275827895716446,1311,216,255,39,0.9166666666666666,0.8611111111111112,0.875
30,23.428535845442653,1420,216,255,39,0.9166666666666666,0.9166666666666666,0.9166666666666666
