num_train_images,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score
1,0.0375,0.07500000000000001,0.016666666666666666,0.03333333333333333,0.0225,0.045
2,0.2625,0.22500000000000003,0.15833333333333333,0.13281147875424357,0.19,0.1622883236711748
3,0.3458333333333333,0.05833333333333333,0.2,0.016666666666666663,0.24333333333333332,0.029767618499152923
4,0.4666666666666666,0.20607105031463727,0.3333333333333333,0.15811388300841894,0.3741666666666667,0.1685806763672647
5,0.6,0.23913908087136238,0.475,0.1798919428743575,0.5125,0.19044903080176945
6,0.6291666666666667,0.24238399287081644,0.525,0.17598926734952394,0.5541666666666666,0.19343388189938873
7,0.6416666666666666,0.25766041389567174,0.5583333333333333,0.20172864061517007,0.5816666666666667,0.21611468149007265
8,0.6375,0.20395397084200695,0.525,0.17598926734952397,0.5574999999999999,0.17960991682594313
9,0.6291666666666667,0.19157606554287746,0.5166666666666666,0.21826334756181326,0.5516666666666666,0.20604745947367453
10,0.6958333333333334,0.19702650695894813,0.6333333333333333,0.18333333333333332,0.6558333333333334,0.18464681000343452
13,0.7416666666666666,0.1736055554666638,0.6,0.13070322617798436,0.6391666666666667,0.1405248099882089
16,0.7583333333333332,0.18333333333333335,0.6833333333333333,0.1550089603144856,0.7033333333333333,0.15666666666666665
19,0.7999999999999999,0.1404358295529393,0.6833333333333333,0.12527746981977422,0.7175,0.12537166966885124
22,0.7666666666666666,0.10069204977995479,0.6666666666666666,0.06972166887783963,0.6941666666666666,0.07428361566022182
25,0.7666666666666666,0.10069204977995479,0.6833333333333332,0.097182531580755,0.7066666666666667,0.09540119961975788
27,0.7333333333333332,0.11055415967851334,0.6416666666666666,0.09354143466934853,0.6658333333333333,0.0944795686320005
30,0.7791666666666666,0.13794121131039044,0.6916666666666667,0.13070322617798436,0.7166666666666666,0.12952906151816965
